URL,Series_name,Map,Soil subgroup UK,WRB_correlation_landgis,WRB_correlation_0,WRB_correlation_1,WRB_correlation_2
https://www.landis.org.uk/soilsguide/series.cfm?serno=225,8.72 CLAYHYTHE (cJ) (225),,2 calcareous humic gley soils,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=347,8.71 DUCKPIT (dK) (347),,1 typical humic gley soils,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,Calcaric Mollic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1002,8.32 KELMSCOT (Km) (1002),,2 calcaro-cambic gley soils,Endoskeletic Calcaric Mollic Gleysols,Calcaric Mollic Gleysols (Endoskeletic),Calcaric Mollic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=188,8.32 BRANDESBURTON (Bnd) (188),,2 calcaro-cambic gley soils,Endoskeletic Calcaric Mollic Gleysols,Calcaric Mollic Gleysols (Endoskeletic),Calcaric Mollic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=600,8.52 GADE (GD) (600),,2 calcareous humic-alluvial gley soils,Endoskeletic Calcaric Mollic Gleysols,Calcaric Mollic Gleysols (Endoskeletic),Calcaric Mollic Gleysols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=436,3.43 ELVEDEN (eV) (436),,3 brown rendzinas,Calcaric Regosols,Calcaric Regosols,Calcaric Regosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=608,3.44 GORE (Gw) (608),,4 colluvial rendzinas,Calcaric Colluvic Regosols,Calcaric Regosols (Colluvic),Calcaric Regosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1517,5.11 POCKLINGTON (Pq) (1517),,1 typical brown calcareous earths,Calcaric Skeletic Cambisols,Calcaric Skeletic Cambisols,Calcaric Skeletic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1872,3.43 SACREWELL (SG) (1872),,3 brown rendzinas,Calcaric Skeletic Cambisols,Calcaric Skeletic Cambisols,Calcaric Skeletic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=026 ,5.13 ASHTON (aT) (26),,3 stagnogleyic brown calcareous earths,Calcaric Stagnic Cambisols,Calcaric Skeletic Cambisols,Calcaric Skeletic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=046 ,5.13 ARNOLD (AN) (46),,3 stagnogleyic brown calcareous earths,Calcaric Stagnic Cambisols,Calcaric Stagnic Cambisols,Calcaric Stagnic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=283,5.13 CANNAMORE (Cmr) (283),,3 stagnogleyic brown calcareous earths,Calcaric Stagnic Cambisols,Calcaric Stagnic Cambisols,Calcaric Stagnic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=707,4.11 HANSLOPE (Hn) (707),,1 typical calcareous pelosols,Calcaric Stagnic Cambisols,Calcaric Stagnic Cambisols,Calcaric Stagnic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=5033,9.61 FLY/CY RESTORED COPROLITE (yCP) (5033),missing,"1 calcareous dense, seasonally wet made ground soils","Calcaric Stagnic Regosols (Transportic, Epiloamic, Endoclayic)","Calcaric Transportic Stagnic Regosols (Epiloamic, Endoclayic)",Calcaric Transportic Stagnic Regosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=5018,9.51 FLY RESTORED COPROLITE (fCP) (5018),missing,1 calcareous well aerated made ground soils,"Calcaric Stagnic Regosols (Transportic, Loamic)",Calcaric TransporticStagnic Regosols (Loamic),Calcaric Transportic Stagnic Regosols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=419,4.11 EVESHAM (Ea) (419),,1 typical calcareous pelosols,Calcaric Stagnic Vertic Cambisols,Calcaric Stagnic Vertic Cambisols,Calcaric Stagnic Vertic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1890,5.44 SPILSBY (Spy) (1890),,4 ferritic brown earths,Chromic Cambisols,Chromic Cambisols,Chromic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=739,5.73 HOOK (hK) (739),,3 gleyic argillic brown earths,Siltic Endogleyic Luvisols,Chromic Endogleyic Luvisols (Siltic),Chromic Endogleyic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1893,5.71 SELBORNE (Sbn) (1893),,1 typical argillic brown earths,Siltic Endoleptic Luvisols,Chromic Endogleyic Luvisols (Siltic),Chromic Endogleyic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1314,5.81 NORDRACH (Nb) (1314),,1 typical paleo-argillic brown earths,Chromic Endoleptic Luvisols,Chromic Endoleptic Luvisols,Chromic Endoleptic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=510,5.71 FRILSHAM (Fs) (510),,1 typical argillic brown earths,Chromic Endoleptic Luvisols,Chromic Endoleptic Luvisols,Chromic Endoleptic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2239,5.81 WINCHESTER (We) (2239),,1 typical paleo-argillic brown earths,Clayic Chromic Endoleptic Luvisols,Chromic Endoleptic Luvisols (Clayic),Chromic Endoleptic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=644,5.71 GARSTON (gZ) (644),,1 typical argillic brown earths,Siltic Chromic Endoleptic Luvisols,Chromic Endoleptic Luvisols (Siltic),Chromic Endoleptic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=116,5.82 BERKHAMSTED (BK) (116),,2 stagnogleyic paleo-argillic brown earths,Abruptic Chromic Endostagnic Luvisols,Chromic Endostagnic Abruptic Luvisols,Endostagnic Abruptic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=802,5.45 IRONDOWN (Ir) (802),,5 stagnogleyic ferritic brown earths,Ruptic Chromic Endostagnic Cambisols,Chromic Endostagnic Cambisols (Ruptic),Chromic Endostagnic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1743,5.53 RUDGE (rJ) (1743),,3 stagnogleyic brown sands,Arenic Chromic Endostagnic Luvisols,Chromic Endostagnic Luvisols (Arenic),Chromic Endostagnic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=109,5.82 BATCOMBE (Bc) (109),,2 stagnogleyic paleo-argillic brown earths,Profundic Chromic Endostagnic Luvisols,Chromic Endostagnic Luvisols (Profundic),Chromic Endostagnic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=706,5.72 HAMPERLEY (Hp) (706),,2 stagnogleyic argillic brown earths,Siltic Endostagnic Luvisols,Chromic Endostagnic Luvisols (Siltic),Chromic Endostagnic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=2201,5.61 WALFORD (wX) (2201),,1 typical brown alluvial soils,Chromic Fluvic Cambisols,Chromic Fluvic Cambisols,Chromic Fluvic Cambisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1231,5.71 MOULTON (Mo) (1231),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1265,5.71 MELFORD (MJ) (1265),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1316,5.71 NORTH NEWTON (NN) (1316),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=150,5.71 BROMYARD (Bf) (150),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1964,5.71 TATHWELL (TW) (1964),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=214,5.71 CHARITY (Cr) (214),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=415,5.71 ESCRICK (Er) (415),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=513,5.71 FYFIELD (Fy) (513),,1 typical argillic brown earths,Chromic Luvisols,Chromic Luvisols,Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1158,5.54 LYNN (LJ) (1158),,4 argillic brown sands,Arenic Chromic Luvisols,Chromic Luvisols (Arenic),Chromic Luvisols,
https://www.landis.org.uk/soilsguide/series.cfm?serno=1883,5.54 STANDHILL (Sta) (1883),,4 argillic brown sands,Arenic Chromic Luvisols,Chromic Luvisols (Arenic),Chromic Luvisols,
